backbone,measurement,n_participants,frozen_mean_rho,frozen_ci95_lower,frozen_ci95_upper,adapted_mean_rho,adapted_ci95_lower,adapted_ci95_upper,gain_mean_delta_rho,gain_ci95_lower,gain_ci95_upper
DINOv3,EEG,10,0.250771925653498,0.22499990693309196,0.27613040355881574,0.28011412468904406,0.2520057594150122,0.30678663331469697,0.029342199035546145,0.02039739424531174,0.038686245826670275
DINOv3,MEG,16,0.2243719767126611,0.19329800694910176,0.2555060929495869,0.2419487925876248,0.2048576872951775,0.27756497778760764,0.017576815874963736,0.008880359274743985,0.026710213300799552
CLIP,EEG,10,0.17938493109365375,0.12935986532534488,0.2258058694347744,0.19793265344461478,0.1465409161173022,0.2468240734569517,0.018547722350961002,0.011581265661411247,0.026243759642077744
CLIP,MEG,16,0.15421759582958766,0.12244930300889924,0.18466352268565422,0.1722366380806971,0.13623191348820177,0.20585138298302436,0.018019042251109427,0.01203724915930613,0.023892258898037026
SigLIP,EEG,10,0.18088025325083734,0.1331751467039903,0.22277161994051742,0.21287262600384055,0.16743417997643148,0.25176158756548217,0.03199237275300319,0.019643024747843518,0.045180947386359215
SigLIP,MEG,16,0.19072822876385898,0.14740846811784458,0.23183543268979226,0.21441111000128427,0.16786654371370271,0.2583025424746603,0.02368288123742527,0.016523344713022553,0.030542587624796072
